measurementPoint,informationalAlerts,warningAlerts,minorAlerts,majorAlerts,severeAlerts,displayName,configuredCapacity,configuredCapacityUnit,totalBytes,totalBytesUnit,networkServiceIndicator,networkServiceIndicatorFactor,networkServiceIndicatorUnit,monitoringMechanism,maxMicroburst,maxMicroburstUnit,oneSecondPeak,oneSecondPeakUnit,recommendation,measuresMessages,packetMicroburstAvailable,effectiveCapacity,effectiveCapacityUnit,averageUtilisation,averageUtilisationUnit,linkSizePacketDelay,linkSizePacketDelayUnit,linkSizeQueueLength,linkSizeQueueLengthUnit
rt-class/VENUE_Chicago//London_CNE/OrderRouter/Session-4/class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_Chicago] Session-4 - class-default,,,459947,B,-1,100,,none,5050,messages per second,210,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_LambdaATS//London_CNE/OrderRouter//class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_LambdaATS]  - class-default,,,426605,B,-1,100,,none,900,messages per second,39,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_Lambda_ATS//London_CNE/OrderRouter/Session-1/class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_Lambda_ATS] Session-1 - class-default,,,116117,B,-1,100,,none,550,messages per second,18,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_Lambda_ATS//London_CNE/OrderRouter/Session-2/class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_Lambda_ATS] Session-2 - class-default,,,310488,B,-1,100,,none,900,messages per second,39,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_London//London_CNE/OrderRouter//class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_London]  - class-default,,,7735236,B,-1,100,,none,600,messages per second,50,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_London//London_CNE/OrderRouter/Session-1/class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_London] Session-1 - class-default,,,44771,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_London//London_CNE/OrderRouter/Session-2/class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_London] Session-2 - class-default,,,48352,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_London//London_CNE/OrderRouter/Session-3/class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_London] Session-3 - class-default,,,6942451,B,-1,100,,none,600,messages per second,50,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_NJ-ATS//London_CNE/PropTradersA/order-ack-latency/class-default,,,,,,London_CNE[PropTradersA] <- [VENUE_NJ-ATS] order-ack-latency - class-default,,,26212384,B,-1,100,,none,2730,messages per second,295,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/VENUE_NJ-ATS//London_CNE/PropTradersA/order-to-tick-latency/class-default,,,,,,London_CNE[PropTradersA] <- [VENUE_NJ-ATS] order-to-tick-latency - class-default,,,26212384,B,0,100,,pnqm,2730,messages per second,295,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/VENUE_Nasdaq//London_CNE/PropTradersB/order-ack-latency/class-default,,,,,,London_CNE[PropTradersB] <- [VENUE_Nasdaq] order-ack-latency - class-default,,,6100176,B,-1,100,,none,540,messages per second,106,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/VENUE_Nasdaq//London_CNE/PropTradersB/order-to-tick-latency/class-default,,,,,,London_CNE[PropTradersB] <- [VENUE_Nasdaq] order-to-tick-latency - class-default,,,6100176,B,0,100,,pnqm,540,messages per second,106,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/VENUE_NewYork//London_CNE/OrderRouter//class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_NewYork]  - class-default,,,30304,B,-1,100,,none,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/VENUE_NewYork//London_CNE/OrderRouter/Session-1/class-default,,,,,,London_CNE[OrderRouter] <- [VENUE_NewYork] Session-1 - class-default,,,30304,B,-1,100,,none,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/XCapital-01/London_CNE//CustomerGateway/XCapital-1/class-default,,,,,,London_CNE[XCapital-01] -> [CustomerGateway] XCapital-1 - class-default,,,125633,B,10,100,,pnqm,450,messages per second,18,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/XCapital-02/London_CNE//CustomerGateway/XCapital-2/class-default,,,,,,London_CNE[XCapital-02] -> [CustomerGateway] XCapital-2 - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/XCapital-03//London_CNE/CustomerGateway/XCapital-3/class-default,,,,,,[XCapital-03] -> London_CNE[CustomerGateway] XCapital-3 - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/Xetra-EBS-A//London_CNE/FeedHandler//class-default,,,,,,[Xetra-EBS-A] -> London_CNE[FeedHandler]  - class-default,,,15037899,B,-1,100,,none,13452,kbps,624,kbps,none,FALSE,TRUE,1000000,kbps,0,%,1522,kbps,1499,kbps
rt-class/Xetra-EBS-B//London_CNE/FeedHandler//class-default,,,,,,[Xetra-EBS-B] -> London_CNE[FeedHandler]  - class-default,,,15037899,B,-1,100,,none,13452,kbps,627,kbps,none,FALSE,TRUE,50000,kbps,0,%,1522,kbps,1499,kbps
